2022-03-18 18:15:23,592 | DEBUG | handlers.py:13 (hello) | /start
2022-03-18 18:16:47,307 | DEBUG | handlers.py:13 (hello) | /start
2022-03-18 21:09:36,580 | INFO | app.py:19 (connect) | connecting to the app
2022-03-18 21:09:50,359 | DEBUG | handlers.py:43 (hello) | /start
2022-03-18 21:09:58,288 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-18 21:10:42,547 | INFO | app.py:19 (connect) | connecting to the app
2022-03-18 21:10:43,784 | DEBUG | handlers.py:44 (hello) | /start
2022-03-18 21:10:54,337 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-18 21:11:41,280 | INFO | app.py:19 (connect) | connecting to the app
2022-03-18 21:11:43,006 | DEBUG | handlers.py:47 (hello) | /start
2022-03-18 21:12:07,367 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-18 21:12:23,642 | INFO | app.py:19 (connect) | connecting to the app
2022-03-18 21:12:40,652 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-18 21:14:51,126 | INFO | app.py:19 (connect) | connecting to the app
2022-03-18 21:14:54,182 | DEBUG | handlers.py:48 (hello) | /start
2022-03-18 21:15:07,602 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 09:33:33,037 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 09:33:33,647 | DEBUG | handlers.py:59 (start) | ipakeev (541400993): /start
2022-03-19 09:34:02,496 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 09:44:47,485 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 09:44:51,728 | DEBUG | handlers.py:67 (start) | ipakeev (541400993): /start
2022-03-19 09:45:02,413 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 09:48:32,796 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 09:48:42,177 | DEBUG | handlers.py:67 (start) | ipakeev (541400993): /start
2022-03-19 09:48:46,022 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 09:50:01,230 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 09:50:11,705 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 09:52:41,660 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 09:52:49,187 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:03:30,913 | INFO | app.py:19 (connect) | connecting to the app
